,Ag_0,Ag_1,Ag_2,Ag_3,Ag_4,Ag_5,Ag_6,Ag_7,Ag_8,Ag_9,Ag_10,Ag_11,Ag_12,Ag_13,Ag_14,Ag_15,Ag_16,Ag_17,Ag_18,Ag_19,Ag_20,Ag_21,Ag_22,Ag_23,Ag_24,Ag_25,Ag_26,Ag_27,Ag_28,Ag_29,Ag_30,Ag_31,Ag_32,Ag_33,Ag_34,Ag_35,Ag_36,Ag_37,Ag_38,Ag_39,Ag_40,Ag_41,Ag_42,Ag_43,Ag_44,Ag_45,Ag_46,Ag_47,Ag_48,Ag_49,Ag_50,Ag_51,Ag_52,Ag_53,Ag_54,Ag_55,Ag_56,Ag_57,Ag_58,Ag_59,User_Reference_Seq
Ag_0,1.0,0.023255813953488372,0.023255813953488372,0.03508771929824561,0.034482758620689655,0.029411764705882353,0.010126582278481013,0.020512820512820513,0.021052631578947368,0.005905511811023622,0.031578947368421054,0.00686106346483705,0.0051635111876075735,0.006589785831960461,0.003784295175023652,0.006611570247933884,0.026041666666666668,0.02717391304347826,0.026595744680851064,0.025477707006369428,0.044642857142857144,0.031578947368421054,0.009652509652509652,0.0070921985815602835,0.0088339222614841,0.008156606851549755,0.023255813953488372,0.019138755980861243,0.010309278350515464,0.008849557522123894,0.005291005291005291,0.02586206896551724,0.025210084033613446,0.02586206896551724,0.02072538860103627,0.02654867256637168,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.010344827586206896,0.008746355685131196,0.007707129094412331,0.008797653958944282,0.00872093023255814,0.012448132780082987,0.008645533141210375,0.00872093023255814,0.024390243902439025,0.041237113402061855,0.031578947368421054,0.0055248618784530384,0.031578947368421054,0.02654867256637168,0.0088339222614841
Ag_1,0.023255813953488372,1.0,0.9922480620155039,0.031007751937984496,0.031007751937984496,0.023255813953488372,0.010126582278481013,0.015384615384615385,0.023255813953488372,0.00984251968503937,0.023255813953488372,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.004730368968779565,0.006611570247933884,0.020833333333333332,0.021739130434782608,0.02127659574468085,0.01910828025477707,0.06201550387596899,0.031007751937984496,0.007722007722007722,0.0070921985815602835,0.007067137809187279,0.004893964110929853,0.9767441860465116,0.014354066985645933,0.010309278350515464,0.007079646017699115,0.008818342151675485,0.023255813953488372,0.031007751937984496,0.031007751937984496,0.015544041450777202,0.023255813953488372,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.013793103448275862,0.008746355685131196,0.009633911368015413,0.008797653958944282,0.00872093023255814,0.016597510373443983,0.008645533141210375,0.00872093023255814,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.003946329913180742,0.023255813953488372,0.023255813953488372,0.007067137809187279
Ag_2,0.023255813953488372,0.9922480620155039,1.0,0.031007751937984496,0.031007751937984496,0.023255813953488372,0.010126582278481013,0.015384615384615385,0.023255813953488372,0.00984251968503937,0.023255813953488372,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.004730368968779565,0.006611570247933884,0.020833333333333332,0.021739130434782608,0.02127659574468085,0.01910828025477707,0.06201550387596899,0.031007751937984496,0.007722007722007722,0.0070921985815602835,0.007067137809187279,0.004893964110929853,0.9689922480620154,0.014354066985645933,0.010309278350515464,0.007079646017699115,0.008818342151675485,0.023255813953488372,0.031007751937984496,0.031007751937984496,0.015544041450777202,0.023255813953488372,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.004676539360872954,0.013793103448275862,0.008746355685131196,0.009633911368015413,0.008797653958944282,0.00872093023255814,0.016597510373443983,0.008645533141210375,0.00872093023255814,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.003946329913180742,0.023255813953488372,0.023255813953488372,0.007067137809187279
Ag_3,0.03508771929824561,0.031007751937984496,0.031007751937984496,1.0,0.9827586206896551,0.02631578947368421,0.012658227848101266,0.020512820512820513,0.02631578947368421,0.011811023622047244,0.02631578947368421,0.00686106346483705,0.008605851979345954,0.006589785831960461,0.005676442762535478,0.006611570247933884,0.026041666666666668,0.02717391304347826,0.026595744680851064,0.03184713375796178,0.043859649122807015,0.017543859649122806,0.007722007722007722,0.0070921985815602835,0.01060070671378092,0.0065252854812398045,0.031007751937984496,0.019138755980861243,0.01288659793814433,0.007079646017699115,0.007054673721340388,0.04310344827586207,0.03361344537815126,0.034482758620689655,0.02072538860103627,0.043859649122807015,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.010344827586206896,0.014577259475218658,0.007707129094412331,0.01466275659824047,0.014534883720930232,0.012448132780082987,0.01440922190201729,0.014534883720930232,0.04065040650406504,0.03508771929824561,0.02631578947368421,0.004735595895816891,0.02631578947368421,0.043859649122807015,0.007067137809187279
Ag_4,0.034482758620689655,0.031007751937984496,0.031007751937984496,0.9827586206896551,1.0,0.02586206896551724,0.012658227848101266,0.020512820512820513,0.02586206896551724,0.011811023622047244,0.02586206896551724,0.00686106346483705,0.008605851979345954,0.006589785831960461,0.005676442762535478,0.006611570247933884,0.026041666666666668,0.02717391304347826,0.026595744680851064,0.03184713375796178,0.04310344827586207,0.017241379310344827,0.007722007722007722,0.0070921985815602835,0.01060070671378092,0.0065252854812398045,0.031007751937984496,0.019138755980861243,0.01288659793814433,0.007079646017699115,0.007054673721340388,0.04310344827586207,0.03361344537815126,0.034482758620689655,0.02072538860103627,0.04310344827586207,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.010344827586206896,0.014577259475218658,0.005780346820809248,0.01466275659824047,0.014534883720930232,0.012448132780082987,0.01440922190201729,0.014534883720930232,0.04065040650406504,0.034482758620689655,0.02586206896551724,0.004735595895816891,0.02586206896551724,0.04310344827586207,0.007067137809187279
Ag_5,0.029411764705882353,0.023255813953488372,0.023255813953488372,0.02631578947368421,0.02586206896551724,1.0,0.2582278481012658,0.010256410256410256,0.029411764705882353,0.00984251968503937,0.9215686274509803,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.003784295175023652,0.006611570247933884,0.015625,0.016304347826086956,0.015957446808510637,0.01910828025477707,0.026785714285714284,0.029411764705882353,0.007722007722007722,0.0070921985815602835,0.0088339222614841,0.008156606851549755,0.023255813953488372,0.014354066985645933,0.01804123711340206,0.010619469026548672,0.005291005291005291,0.02586206896551724,0.03361344537815126,0.02586206896551724,0.010362694300518135,0.04424778761061947,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.013793103448275862,0.011661807580174927,0.005780346820809248,0.011730205278592375,0.011627906976744186,0.02074688796680498,0.011527377521613832,0.011627906976744186,0.04065040650406504,0.058823529411764705,0.9313725490196079,0.0031570639305445935,0.9313725490196079,0.04424778761061947,0.00530035335689046
Ag_6,0.010126582278481013,0.010126582278481013,0.010126582278481013,0.012658227848101266,0.012658227848101266,0.2582278481012658,1.0,0.010126582278481013,0.007594936708860759,0.00984251968503937,0.2379746835443038,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.005676442762535478,0.006611570247933884,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.010126582278481013,0.007594936708860759,0.011583011583011582,0.0070921985815602835,0.0088339222614841,0.0065252854812398045,0.010126582278481013,0.010126582278481013,0.017721518987341773,0.010619469026548672,0.007054673721340388,0.010126582278481013,0.012658227848101266,0.012658227848101266,0.010126582278481013,0.010126582278481013,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.010126582278481013,0.010126582278481013,0.007707129094412331,0.010126582278481013,0.010126582278481013,0.012658227848101266,0.010126582278481013,0.010126582278481013,0.010126582278481013,0.015189873417721518,0.24050632911392406,0.0031570639305445935,0.24050632911392406,0.010126582278481013,0.0088339222614841
Ag_7,0.020512820512820513,0.015384615384615385,0.015384615384615385,0.020512820512820513,0.020512820512820513,0.010256410256410256,0.010126582278481013,1.0,0.015384615384615385,0.007874015748031496,0.010256410256410256,0.00686106346483705,0.0068846815834767644,0.006589785831960461,0.003784295175023652,0.006611570247933884,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.020512820512820513,0.015384615384615385,0.011583011583011582,0.0070921985815602835,0.007067137809187279,0.0065252854812398045,0.015384615384615385,0.9282296650717703,0.01288659793814433,0.008849557522123894,0.007054673721340388,0.015384615384615385,0.020512820512820513,0.020512820512820513,0.9897435897435898,0.015384615384615385,0.1504286827747467,0.15120810600155885,0.1504286827747467,0.1504286827747467,0.14964925954793454,0.1504286827747467,0.14964925954793454,0.14886983632112236,0.14886983632112236,0.14886983632112236,0.013793103448275862,0.014577259475218658,0.007707129094412331,0.01466275659824047,0.014534883720930232,0.016597510373443983,0.01440922190201729,0.014534883720930232,0.015384615384615385,0.015384615384615385,0.010256410256410256,0.004735595895816891,0.010256410256410256,0.015384615384615385,0.0088339222614841
Ag_8,0.021052631578947368,0.023255813953488372,0.023255813953488372,0.02631578947368421,0.02586206896551724,0.029411764705882353,0.007594936708860759,0.015384615384615385,1.0,0.007874015748031496,0.031914893617021274,0.005145797598627788,0.0051635111876075735,0.004942339373970346,0.003784295175023652,0.0049586776859504135,0.026041666666666668,0.02717391304347826,0.026595744680851064,0.01910828025477707,0.03571428571428571,0.04411764705882353,0.007722007722007722,0.005319148936170213,0.0088339222614841,0.0065252854812398045,0.023255813953488372,0.019138755980861243,0.010309278350515464,0.007079646017699115,0.007054673721340388,0.034482758620689655,0.05042016806722689,0.05172413793103448,0.02072538860103627,0.035398230088495575,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.003897116134060795,0.010344827586206896,0.008746355685131196,0.007707129094412331,0.008797653958944282,0.00872093023255814,0.012448132780082987,0.008645533141210375,0.00872093023255814,0.032520325203252036,0.030927835051546393,0.031578947368421054,0.0031570639305445935,0.031578947368421054,0.035398230088495575,0.01060070671378092
Ag_9,0.005905511811023622,0.00984251968503937,0.00984251968503937,0.011811023622047244,0.011811023622047244,0.00984251968503937,0.00984251968503937,0.007874015748031496,0.007874015748031496,1.0,0.00984251968503937,0.008576329331046312,0.008605851979345954,0.008237232289950576,0.008514664143803218,0.008264462809917356,0.00984251968503937,0.00984251968503937,0.00984251968503937,0.007874015748031496,0.013779527559055118,0.005905511811023622,0.015444015444015444,0.008865248226950355,0.01060070671378092,0.011419249592169658,0.00984251968503937,0.007874015748031496,0.007874015748031496,0.010619469026548672,0.008818342151675485,0.007874015748031496,0.00984251968503937,0.00984251968503937,0.007874015748031496,0.00984251968503937,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.021044427123928292,0.00984251968503937,0.00984251968503937,0.015414258188824663,0.00984251968503937,0.00984251968503937,0.007874015748031496,0.00984251968503937,0.00984251968503937,0.00984251968503937,0.007874015748031496,0.00984251968503937,0.004735595895816891,0.00984251968503937,0.00984251968503937,0.01060070671378092
